                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7649,                   0.48,                      1,                 0.6971,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                0.64331,                   0.78,                      1,                0.61338,             9.0523e-05,             9.0523e-05,             9.0523e-05
                      3,                 0.5317,                   0.89,                      1,                0.56182,             0.00013573,             0.00013573,             0.00013573
                      4,                0.47207,                   0.92,                      1,                0.51743,             0.00017847,             0.00017847,             0.00017847
                      5,                0.38066,                   0.97,                      1,                0.45054,             0.00021873,             0.00021873,             0.00021873
                      6,                0.35218,                   0.99,                      1,                0.43908,             0.00025651,             0.00025651,             0.00025651
                      7,                  0.212,                   0.99,                      1,                0.37664,             0.00029183,             0.00029183,             0.00029183
                      8,                0.18007,                   0.99,                      1,                0.35616,             0.00032466,             0.00032466,             0.00032466
                      9,                0.14548,                   0.99,                      1,                0.33648,             0.00035503,             0.00035503,             0.00035503
                     10,                0.21212,                   0.99,                      1,                 0.3603,             0.00038292,             0.00038292,             0.00038292
                     11,                0.09651,                   0.99,                      1,                0.32648,             0.00040834,             0.00040834,             0.00040834
                     12,                0.11321,                   0.99,                      1,                0.32144,             0.00043128,             0.00043128,             0.00043128
                     13,                 0.0658,                      1,                      1,                0.32131,             0.00045175,             0.00045175,             0.00045175
                     14,                0.11123,                   0.99,                      1,                 0.3209,             0.00046974,             0.00046974,             0.00046974
                     15,                0.06588,                   0.99,                      1,                0.32096,              0.0004666,              0.0004666,              0.0004666
                     16,                0.15007,                   0.99,                      1,                0.32158,              0.0004666,              0.0004666,              0.0004666
                     17,                0.17957,                   0.99,                      1,                0.35442,             0.00044893,             0.00044893,             0.00044893
                     18,                0.10997,                   0.98,                      1,                0.33036,             0.00043126,             0.00043126,             0.00043126
                     19,                0.09423,                   0.99,                      1,                0.34717,             0.00041358,             0.00041358,             0.00041358
                     20,                0.07974,                   0.99,                      1,                0.32623,             0.00039591,             0.00039591,             0.00039591
                     21,                0.11283,                   0.99,                      1,                0.32317,             0.00037824,             0.00037824,             0.00037824
                     22,                0.12391,                   0.99,                      1,                0.32132,             0.00036057,             0.00036057,             0.00036057
                     23,                0.04054,                      1,                      1,                0.31735,              0.0003429,              0.0003429,              0.0003429
                     24,                0.03639,                      1,                      1,                0.31586,             0.00032523,             0.00032523,             0.00032523
                     25,                0.03007,                      1,                      1,                 0.3157,             0.00030756,             0.00030756,             0.00030756
                     26,                0.02264,                      1,                      1,                0.31615,             0.00028988,             0.00028988,             0.00028988
                     27,                0.06302,                      1,                      1,                0.31539,             0.00027221,             0.00027221,             0.00027221
                     28,                0.02238,                      1,                      1,                0.31669,             0.00025454,             0.00025454,             0.00025454
                     29,                0.05895,                      1,                      1,                0.31521,             0.00023687,             0.00023687,             0.00023687
                     30,                0.05723,                      1,                      1,                0.31431,              0.0002192,              0.0002192,              0.0002192
                     31,                0.14771,                      1,                      1,                0.31404,             0.00020153,             0.00020153,             0.00020153
                     32,                0.04041,                      1,                      1,                0.31411,             0.00018385,             0.00018385,             0.00018385
                     33,                0.02356,                      1,                      1,                0.31414,             0.00016618,             0.00016618,             0.00016618
                     34,                0.02707,                      1,                      1,                0.31413,             0.00014851,             0.00014851,             0.00014851
                     35,                 0.0297,                      1,                      1,                0.31424,             0.00013084,             0.00013084,             0.00013084
                     36,                 0.0367,                      1,                      1,                0.31454,             0.00011317,             0.00011317,             0.00011317
                     37,                0.02841,                      1,                      1,                0.31436,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     38,                0.03727,                      1,                      1,                0.31396,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     39,                0.02023,                      1,                      1,                0.31418,             6.0154e-05,             6.0154e-05,             6.0154e-05
                     40,                0.01732,                      1,                      1,                0.31416,             4.2483e-05,             4.2483e-05,             4.2483e-05
